Date,Adj Close
2017-01-03,57.033257
2017-01-04,56.778065
2017-01-05,56.778065
2017-01-06,57.270214
2017-01-09,57.087948
2017-01-10,57.069714
2017-01-11,57.58918
2017-01-12,57.060616
2017-01-13,57.142609
2017-01-17,56.987694
2017-01-18,56.96035
2017-01-19,56.778065
2017-01-20,57.179077
2017-01-23,57.379578
2017-01-24,57.889946
2017-01-25,58.035755
2017-01-26,58.573467
2017-01-27,59.949612
2017-01-30,59.357246
2017-01-31,58.919796
2017-02-01,57.944633
2017-02-02,57.570965
2017-02-03,58.035755
2017-02-06,57.999302
2017-02-07,57.80793
2017-02-08,57.725899
2017-02-09,58.382076
2017-02-10,58.327393
2017-02-13,58.983582
2017-02-14,59.203629
2017-02-15,59.166954
2017-02-16,59.157806
2017-02-17,59.249481
2017-02-21,59.130283
2017-02-22,59.011093
2017-02-23,59.249481
2017-02-24,59.249481
2017-02-27,58.891884
2017-02-28,58.662666
2017-03-01,59.542896
2017-03-02,58.690189
2017-03-03,58.910229
2017-03-06,58.92857
2017-03-07,59.047768
2017-03-08,59.588718
2017-03-09,59.350346
2017-03-10,59.533722
2017-03-13,59.331997
2017-03-14,59.056934
2017-03-15,59.368683
2017-03-16,59.267815
2017-03-17,59.478699
2017-03-20,59.533722
2017-03-21,58.87355
2017-03-22,59.625408
2017-03-23,59.478699
2017-03-24,59.579556
2017-03-27,59.689583
2017-03-28,59.863785
2017-03-29,60.028831
2017-03-30,60.248882
2017-03-31,60.386429
2017-04-03,60.102188
2017-04-04,60.267239
2017-04-05,60.111355
2017-04-06,60.267239
2017-04-07,60.221382
2017-04-10,60.083858
2017-04-11,60.038006
2017-04-12,59.808792
2017-04-13,59.552052
2017-04-17,60.038006
2017-04-18,59.955479
2017-04-19,59.63459
2017-04-20,60.056335
2017-04-21,60.881554
2017-04-24,61.917625
2017-04-25,62.275204
2017-04-26,62.192699
2017-04-27,62.596115
2017-04-28,62.770344
2017-05-01,63.641388
2017-05-02,63.540546
2017-05-03,63.338814
2017-05-04,63.091259
2017-05-05,63.26545
2017-05-08,63.210453
2017-05-09,63.302135
2017-05-10,63.54969
2017-05-11,62.770344
2017-05-12,62.696987
2017-05-15,62.742832
2017-05-16,64.00618
2017-05-17,62.226437
2017-05-18,62.43853
2017-05-19,62.42009
2017-05-22,63.120922
2017-05-23,63.333015
2017-05-24,63.416023
2017-05-25,64.199829
2017-05-26,64.513367
2017-05-30,64.928345
2017-05-31,64.40271
2017-06-01,64.642456
2017-06-02,66.173218
2017-06-05,66.652748
2017-06-06,66.874054
2017-06-07,66.754158
2017-06-08,66.348427
2017-06-09,64.845322
2017-06-12,64.347382
2017-06-13,65.149628
2017-06-14,64.799202
2017-06-15,64.458031
2017-06-16,64.550247
2017-06-19,65.352486
2017-06-20,64.467262
2017-06-21,64.799202
2017-06-22,64.790001
2017-06-23,65.666039
2017-06-26,65.038979
2017-06-27,63.821754
2017-06-28,64.365814
2017-06-29,63.157799
2017-06-30,63.563541
2017-07-03,62.862709
2017-07-05,63.701859
2017-07-06,63.231556
2017-07-07,64.052284
2017-07-10,64.531792
2017-07-11,64.541016
2017-07-12,65.610695
2017-07-13,66.182434
2017-07-14,67.113808
2017-07-17,67.639427
2017-07-18,67.593323
2017-07-19,68.109726
2017-07-20,68.441696
2017-07-21,68.045197
2017-07-24,67.869942
2017-07-25,68.414032
2017-07-26,68.284935
2017-07-27,67.464226
2017-07-28,67.353577
2017-07-31,67.040024
2017-08-01,66.92939
2017-08-02,66.634293
2017-08-03,66.532845
2017-08-04,67.021614
2017-08-07,66.763382
2017-08-08,67.123032
2017-08-09,66.82795
2017-08-10,65.850471
2017-08-11,66.855583
2017-08-14,67.860725
2017-08-15,67.879295
2017-08-16,68.277924
2017-08-17,67.119087
2017-08-18,67.202515
2017-08-21,66.887329
2017-08-22,67.823654
2017-08-23,67.415764
2017-08-24,67.387955
2017-08-25,67.508461
2017-08-28,67.517738
2017-08-29,67.721703
2017-08-30,68.611664
2017-08-31,69.316223
2017-09-01,68.546768
2017-09-05,68.240837
2017-09-06,68.046165
2017-09-07,68.917587
2017-09-08,68.583847
2017-09-11,69.306976
2017-09-12,69.232803
2017-09-13,69.724129
2017-09-14,69.316223
2017-09-15,69.816841
2017-09-18,69.67778
2017-09-19,69.93737
2017-09-20,69.473808
2017-09-21,68.797073
2017-09-22,68.982491
2017-09-25,67.916382
2017-09-26,67.916382
2017-09-27,68.463364
2017-09-28,68.48188
2017-09-29,69.056641
2017-10-02,69.167908
2017-10-03,68.843422
2017-10-04,69.242073
2017-10-05,70.428703
2017-10-06,70.45652
2017-10-09,70.725357
2017-10-10,70.725357
2017-10-11,70.845856
2017-10-12,71.49482
2017-10-13,71.837822
2017-10-16,71.986191
2017-10-17,71.930534
2017-10-18,71.949074
2017-10-19,72.227203
2017-10-20,73.061539
2017-10-23,73.080093
2017-10-24,73.107925
2017-10-25,72.894669
2017-10-26,73.01519
2017-10-27,77.696846
2017-10-30,77.771027
2017-10-31,77.112785
2017-11-01,77.112785
2017-11-02,77.91935
2017-11-03,78.002777
2017-11-06,78.308685
2017-11-07,78.123299
2017-11-08,78.392143
2017-11-09,77.956421
2017-11-10,77.752449
2017-11-13,77.808121
2017-11-14,77.91935
2017-11-15,77.313728
2017-11-16,77.5187
2017-11-17,76.773331
2017-11-20,76.894463
2017-11-21,78.003212
2017-11-22,77.43486
2017-11-24,77.5746
2017-11-27,78.142944
2017-11-28,79.083984
2017-11-29,77.649147
2017-11-30,78.422455
2017-12-01,78.506325
2017-12-04,75.54348
2017-12-05,76.018661
2017-12-06,77.12738
2017-12-07,76.857185
2017-12-08,78.41317
2017-12-11,79.410088
2017-12-12,79.736191
2017-12-13,79.521881
2017-12-14,78.906975
2017-12-15,80.919472
2017-12-18,80.481552
2017-12-19,79.969124
2017-12-20,79.680267
2017-12-21,79.661644
2017-12-22,79.670952
2017-12-26,79.568466
